"Word","Example","Translation"
"apprendre","Je vais apprendre une nouvelle langue.","to learn"
"orner","Elle orne la table avec des fleurs fraîches.","to adorn"
"déranger","Tu déranges les autres en parlant si fort.","to disturb"
"éteindre","Il éteint la lumière avant de dormir.","to extinguish"
"germir","Les graines germent dans le sol après la pluie.","to sprout"
"croître","Les plantes croissent rapidement sous le soleil.","to grow"
"apparaître","Le soleil apparaît derrière les nuages.","to appear"
"coqueter","Elle coquette avec son voisin chaque jour.","to flirt"
"toiletter","Il toilette son chien avant de partir en promenade.","to groom"
"bâiller","Je bâille souvent après une longue journée.","to yawn"
"découvrir","Nous découvrons de nouvelles idées en lisant des livres.","to discover"
"tourmenter","La question le tourmente chaque nuit.","to torment"
"confondre","Elle confond toujours les deux mots.","to confuse"
"griffer","Le chat griffe le canapé quand il est énervé.","to claw"
"demander","Je demande de l'aide pour résoudre ce problème.","to ask"
"interrompre","Tu interromps toujours les autres quand ils parlent.","to interrupt"
"tousser","Elle tousse depuis ce matin.","to cough"
"infliger","Il inflige une grande douleur en ne répondant pas.","to inflict"
"embaumer","Les fleurs embaument tout le jardin.","to scent"
"ruser","Il ruse pour éviter de faire son travail.","to trick"
"contrarier","Elle contrarie toujours ses parents avec ses décisions.","to contradict"
"graine","Les graines germent dans le sol","seed"
"abri","Nous cherchons un abri pour nous protéger de la pluie.","shelter"
"soin","Elle prend soin de ses plantes tous les jours.","care"
"s'habiller","Il s'habille rapidement le matin.","to get dressed"
"friper","Elle frippe ses vêtements en les jetant dans le panier.","to wrinkle"
"coquelicots","Les coquelicots poussent dans les champs en été.","poppies"
"lever du soleil","Ils regardent le lever du soleil tous les matins.","sunrise"
"rayonnement","Le rayonnement du soleil est très fort aujourd'hui.","radiance"
"décoiffée","Elle est toujours décoiffée après une longue journée.","disheveled"
"deviner","Je devine ce que tu vas dire.","to guess"
"la bonté","La bonté est une qualité importante.","kindness"
"arrosoir","Il arrose les plantes avec un arrosoir.","watering can"
"paravent","Le paravent protège la plante du vent.","screen"
"mensonge","Il dit toujours des mensonges pour éviter des problèmes.","lie"
"tort","Elle a tort de ne pas écouter ses parents.","wrong"
"paravent","Le paravent bloque le courant d'air.","screen"
"m'éclairait","La lampe m'éclairait dans l'obscurité.","enlightened me"
"m'enfuir","Je m'enfuis chaque fois que je vois un serpent.","to run away"
