"Word","Translation","example"
"dessiner","Il aime dessiner des étoiles dans le ciel","to draw"
"voler","L'avion peut voler au-dessus des nuages","to fly"
"poser","Il a posé le livre sur la table","to place/ask"
"s’arrêter","Elle a décidé de s’arrêter pour admirer le paysage","to stop"
"pleurer","L’enfant a commencé à pleurer quand il a perdu son jouet","to cry"
"étonner","Sa réponse m'a beaucoup étonné","to astonish"
"supporter","Je ne peux pas supporter ce bruit","to tolerate"
"observer","Il aime observer les étoiles la nuit","to observe"
"interroger","Le professeur a interrogé les élèves sur le chapitre","to question"
"ramener","Elle a ramené le ballon au terrain","to bring back"
"apercevoir","J’ai pu apercevoir un renard au loin","to notice/glimpse"
"manquer","Tu vas me manquer pendant ton voyage","to miss/lack"
"se vanter","Il aime se vanter de ses exploits","to boast"
"envisager","Ils envisagent de voyager à l'étranger cet été","to consider/envision"
"ordonner","Le roi a ordonné de reconstruire le château","to order/command"
"réverbérer","Le soleil réverbère sur l’eau claire du lac","to reflect (light)"
"apprivoiser","Il faut beaucoup de patience pour apprivoiser un animal","to tame"
"supplier","Elle a supplié le professeur de lui donner une autre chance","to implore/beg"
"émerveiller","Les couleurs de l’aube émerveillent toujours les voyageurs","to amaze"
"se lamenter","Il se lamente sur son sort chaque jour","to lament"
