"Word","Example","Translation"
"habiter","J’habite dans une petite maison","to live"
"pleurer","L’enfant a commencé à pleurer après avoir perdu son jouet","to cry"
"dessiner","Il aime dessiner des étoiles","to draw"
"voler","L’avion peut voler très haut dans le ciel","to fly"
"écouter","J’aime écouter de la musique","to listen"
"chercher","Je cherche mes clés partout","to look for"
"regarder","Il regarde la télévision tous les soirs","to look at"
"rêver","Elle rêve de voyager dans le monde","to dream"
"vivre","Il veut vivre à la campagne","to live"
"parler","Nous parlons souvent de nos projets","to speak"
"marcher","Ils marchent dans le parc chaque matin","to walk"
"ouvrir","Peux-tu ouvrir la porte s’il te plaît ?","to open"
"fermer","Il faut fermer les fenêtres avant de partir","to close"
"travailler","Elle travaille dur pour réussir ses examens","to work"
"poser","Il pose le livre sur la table","to put/place"
